employeeid,fullname,department,jobtitle,email,gender,hiredate,terminationdate,salary,managerid,performancerating,status,hire_year,hire_month,hire_quarter,termination_year,termination_month,termination_quarter,tenure_days,tenure_years,tenure_band,performance_category,department_size,manager_span_of_control,is_active,is_terminated,has_manager,has_performance_rating,dept_avg_salary,job_avg_salary,salary_vs_dept_avg,salary_vs_job_avg,seniority_level,tenure_at_termination,early_attrition,salary_band
PNR-1001,Aarav Taylor,It Support,Help Desk Specialist,employee.1001@pnrao.com,Unknown,2021-05-08,,79378.0,,,Active,2021,5,2,,,,1635,4.48,3-5 years,,98,0,1,0,0,0,96490.2,70990.91,-17.73,11.81,Mid-Level,,0,60K-80K
PNR-1002,Emma Jones,Quality Control,Qc Inspector,employee.1002@pnrao.com,Female,2019-11-13,,69570.0,PNR-1714,4.0,Active,2019,11,4,,,,2177,5.96,5-10 years,Good,108,3,1,0,1,1,109570.66,70667.88,-36.51,-1.55,Senior,,0,60K-80K
PNR-1004,Rohan Jones,Human Resources,Hr Coordinator,employee.1004@pnrao.com,Female,2020-02-11,,61572.0,PNR-1925,4.0,Active,2020,2,1,,,,2087,5.71,5-10 years,Good,106,1,1,0,1,1,68801.09,68340.05,-10.51,-9.9,Senior,,0,60K-80K
PNR-1007,John Smith,Marketing,Marketing Coordinator,employee.1007@pnrao.com,Female,2023-08-21,,76107.0,PNR-2219,,Active,2023,8,3,,,,800,2.19,1-3 years,,95,1,1,0,1,0,93037.96,72400.67,-18.2,5.12,Mid-Level,,0,60K-80K
PNR-1008,Chris Jones,Research & Development,Lab Technician,employee.1008@pnrao.com,Unknown,2023-07-27,,79117.0,PNR-1441,3.0,Active,2023,7,3,,,,825,2.26,1-3 years,Average,98,1,1,0,1,1,85614.79,69766.0,-7.59,13.4,Mid-Level,,0,60K-80K
PNR-1013,Chris Singh,Sales,Account Manager,employee.1013@pnrao.com,Male,2020-11-24,,176073.0,,3.0,Active,2020,11,4,,,,1800,4.93,3-5 years,Average,104,0,1,0,0,1,121525.81,151582.0,44.89,16.16,Mid-Level,,0,150K+
PNR-1017,Saanvi Sharma,Finance,Accountant,employee.1017@pnrao.com,Female,2021-02-26,,83620.0,PNR-1533,5.0,Active,2021,2,1,,,,1706,4.67,3-5 years,Excellent,87,3,1,0,1,1,69535.21,69549.67,20.26,20.23,Mid-Level,,0,80K-100K
PNR-1018,Olivia Jones,Finance,Controller,employee.1018@pnrao.com,Male,2023-08-14,,78927.0,PNR-2098,5.0,Active,2023,8,3,,,,807,2.21,1-3 years,Excellent,87,2,1,0,1,1,69535.21,68783.8,13.51,14.75,Mid-Level,,0,60K-80K
PNR-1020,Aditya Kumar,Production,Line Supervisor,employee.1020@pnrao.com,Unknown,2022-02-25,,68866.0,,4.0,Active,2022,2,1,,,,1342,3.67,3-5 years,Good,112,0,1,0,0,1,102837.83,69824.22,-33.03,-1.37,Mid-Level,,0,60K-80K
PNR-1021,Olivia Williams,It Support,It Technician,employee.1021@pnrao.com,Female,2022-11-30,,81467.0,PNR-1947,2.0,Active,2022,11,4,,,,1064,2.91,1-3 years,Below Average,98,3,1,0,1,1,96490.2,71783.83,-15.57,13.49,Mid-Level,,0,80K-100K
PNR-1025,Olivia Jones,Research & Development,Scientist,employee.1025@pnrao.com,Non-Binary,2024-09-12,,70574.0,PNR-2738,4.0,Active,2024,9,3,,,,412,1.13,1-3 years,Good,98,3,1,0,1,1,85614.79,72557.95,-17.57,-2.73,Junior,,0,60K-80K
PNR-1026,Michael Williams,Production,Line Supervisor,employee.1026@pnrao.com,Non-Binary,2022-12-15,,79201.0,PNR-1102,3.0,Active,2022,12,4,,,,1049,2.87,1-3 years,Average,112,2,1,0,1,1,102837.83,69824.22,-22.98,13.43,Mid-Level,,0,60K-80K
PNR-1028,Chris Smith,It Support,Help Desk Specialist,employee.1028@pnrao.com,Non-Binary,2023-08-09,2025-08-27,63177.0,PNR-2078,2.0,Terminated,2023,8,3,2025.0,8.0,3.0,749,2.05,1-3 years,Below Average,98,4,0,1,1,1,96490.2,70990.91,-34.52,-11.01,Mid-Level,2.0506502395619437,0,60K-80K
PNR-1033,John Wilson,Marketing,Marketing Coordinator,employee.1033@pnrao.com,Non-Binary,2023-12-29,,76039.0,PNR-2869,2.0,Active,2023,12,4,,,,670,1.83,1-3 years,Below Average,95,1,1,0,1,1,93037.96,72400.67,-18.27,5.03,Junior,,0,60K-80K
