EmployeeID,FullName,Department,JobTitle,Email,Gender,HireDate,TerminationDate,Salary,ManagerID,PerformanceRating,Status
"PNR-1001","Aarav Taylor","IT Support"," Help Desk Specialist ","employee.1001@pnrao.com",""," 2021-05-08 ","  ","79378","","","Active"
"PNR-1002","Emma Jones","Quality Control","#N/A","employee.1002@pnrao.com","Female","2019-11-13","","69570"," PNR-1714 ","4","Active"
"PNR-1002","Emma Jones","Quality Control","QC Inspector","employee.1002@pnrao.com","Female","2019-11-13","","69570","PNR-1714","4","Active"
"PNR-1004","Rohan Jones","Human Resources","HR Coordinator"," employee.1004@pnrao.com ","Female","2020-02-11","#N/A","61572","","4",""
"PNR-1004","Rohan Jones","Human Resources","HR Coordinator","employee.1004@pnrao.com","Female","2020-02-11","","61572","PNR-1925","4","Active"
" PNR-1006 ","","Logistics"," Warehouse Associate ","employee.1006@pnrao.com",""," 2025-02-09 ","","60796"," PNR-1690 ","2"," Active "
" PNR-1007 ","John Smith","Marketing","Marketing Coordinator","employee.1007@pnrao.com","Female"," 2023-08-21 ","","76107","PNR-2219","","Active"
"PNR-1008","Chris Jones","Research & Development","Lab Technician","employee.1008@pnrao.com","","2023-07-27","","79117","PNR-1441","3","Active"
" PNR-1009 ","","Human Resources"," HR Generalist ","employee.1009@pnrao.com","Non-binary","2022-03-17","","59818","PNR-1847","5","Active"
"PNR-1010","Anika Sharma","Marketing","Marketing Manager","employee.1010@pnrao.com","Non-binary","","2028-05-06","133925","  ","3"," Terminated "
"PNR-1011","Emma Wilson","Quality Control"," QC Manager ","employee.1011@pnrao.com","Male","2022-07-03","","","","2",""
"PNR-1012","Chris Wilson","Logistics","Warehouse Associate",""," Female "," 2018-11-04 ","","84971"," PNR-1370 ","3",""
"PNR-1013","Chris Singh","Sales","Account Manager","employee.1013@pnrao.com","Male","2020-11-24","","176073","","3","Active"
"","John Patel","Production"," Production Worker ","employee.1014@pnrao.com","Female"," 2025-02-04 ","","84576","PNR-2760","3","Active"
"PNR-1015","John Jones",""," HR Coordinator ","employee.1015@pnrao.com","Male","2025-04-24","","68445","PNR-1171","3","Active"
"PNR-1016","John Smith","","IT Technician","employee.1016@pnrao.com","Female","","","78049","PNR-2758","5","Active"
"PNR-1017","Saanvi Sharma"," Finance ","Accountant","employee.1017@pnrao.com"," Female ","2021-02-26","","83620"," PNR-1533 ","5","Active"
"PNR-1017","Saanvi Sharma","Finance","Accountant","employee.1017@pnrao.com","Female","2021-02-26","","83620","PNR-1533","5","Active"
"PNR-1018","Olivia Jones","Finance","Controller","employee.1018@pnrao.com","Male","2023-08-14","","78927","PNR-2098","5","Active"
"PNR-1020","Aditya Kumar","Production"," Line Supervisor ","employee.1020@pnrao.com",""," 2022-02-25 ","  ","68866","","4","Active"
"PNR-1021","Olivia Williams","IT Support","IT Technician","employee.1021@pnrao.com","Female","2022-11-30","","81467","PNR-1947","2","Active"
"PNR-1022","David Patel","Research & Development","Scientist","","Non-binary","2025-06-20","","62233"," PNR-2595 ","5",""
"PNR-1023"," Anika Kumar ","Production","Operations Manager","","Non-binary","2019-08-23","  ","168520","  ","3",""
"PNR-1024","Michael Kumar","","IT Technician","employee.1024@pnrao.com","Male","2020-07-23","2025-07-02","60038","PNR-2872","5","Terminated"
"","Olivia Jones"," Research & Development ","Scientist","employee.1025@pnrao.com","Non-binary","2024-09-12","","70574","PNR-2738","4","Active"
"PNR-1025","Olivia Jones","Research & Development","Scientist","employee.1025@pnrao.com","Non-binary","2024-09-12","","70574","PNR-2738","4","Active"
"PNR-1026","Michael Williams","Production","Line Supervisor","employee.1026@pnrao.com","Non-binary","2022-12-15","","79201","PNR-1102","3","Active"
"PNR-1028","Chris Smith"," IT Support ","Help Desk Specialist","employee.1028@pnrao.com"," Non-binary ","","2025-08-27","63177","","2","Terminated"
"PNR-1028","Chris Smith","IT Support","Help Desk Specialist","employee.1028@pnrao.com","Non-binary","2023-08-09","2025-08-27","63177","PNR-2078","2","Terminated"
"PNR-1030","","Sales","Sales Associate","employee.1030@pnrao.com"," Non-binary ","2024-07-12","","","PNR-1211","5","Active"
"PNR-1031","Aarav Taylor","IT Support","","employee.1031@pnrao.com"," Non-binary ","2022-03-31","","","#N/A","2","Active"
"PNR-1032","Chris Singh","Marketing","#N/A","employee.1032@pnrao.com","","","","","","5","Active"
"PNR-1033","John Wilson","Marketing","Marketing Coordinator","employee.1033@pnrao.com"," Non-binary ","2023-12-29","","76039","PNR-2869","2","Active"
"PNR-1033","John Wilson","Marketing","Marketing Coordinator","employee.1033@pnrao.com","Non-binary","2023-12-29","","76039","PNR-2869","2","Active"
"PNR-1035"," Mary Williams ","Research & Development","Research Lead","employee.1035@pnrao.com","Male","2023-02-25","","104007","#N/A","3","Active"
"PNR-1036","Saanvi Brown","","","employee.1036@pnrao.com","Non-binary","","","160457","","2","Active"
"PNR-1036","Saanvi Brown","Quality Control","QC Manager","employee.1036@pnrao.com","Non-binary","2019-07-03","","160457","","2","Active"
"","Aarav Sharma","Research & Development","Scientist","employee.1038@pnrao.com","Female","2022-02-07","  ","76025","PNR-2678","","Active"
""," John Brown ","Finance","Accountant",""," Female ","","","80966"," PNR-2234 ","4","Active"
"PNR-1040","Saanvi Jones","Human Resources","HR Generalist"," employee.1040@pnrao.com "," Female ","2025-03-14","","70705"," PNR-2973 ","5","Active"
"","Emma Smith","Human Resources","","employee.1041@pnrao.com","Female"," 2020-04-04 ","","69752","PNR-1036","2","Active"
"","David Sharma"," Logistics ","Logistics Coordinator"," employee.1042@pnrao.com ","Female","2020-05-30","#N/A","58075","PNR-2660","","Active"
"PNR-1043","Priya Brown","Production","Production Worker","employee.1043@pnrao.com","Male","2022-02-19","","81407","PNR-1762","5","Active"
"PNR-1043","Priya Brown","Production","Production Worker","employee.1043@pnrao.com","Male","2022-02-19","","81407","PNR-1762","5","Active"
" PNR-1045 ","Emma Kumar","Sales","Sales Associate","employee.1045@pnrao.com","","2019-07-25","2024-07-17","","PNR-2331","3","Terminated"
"PNR-1046","Aarav Taylor"," Production ","Operations Manager","employee.1046@pnrao.com","Male","2025-06-30","","174212","","4"," Active "
" PNR-1047 ","Olivia Patel","Research & Development","Research Lead","","#N/A","2022-01-09","","93701","PNR-1410","5"," Active "
"PNR-1048","Aarav Jones"," Human Resources ","","employee.1048@pnrao.com","Male","2019-12-29","","83125","","5","Active"
"PNR-1049","Emma Kumar","Research & Development","Scientist","","Non-binary","2020-12-18","","59783"," PNR-1714 ","2"," Active "
"PNR-1050","","IT Support"," Help Desk Specialist ","#N/A","Non-binary","2025-01-17","","75488","PNR-1594","3","Active"
"PNR-1051","Mary Patel","Marketing"," Marketing Manager ","employee.1051@pnrao.com"," Male ","2019-01-09","  ","178479","","4"," Active "
"PNR-1051","Mary Patel","Marketing","Marketing Manager","employee.1051@pnrao.com","Male","2019-01-09","","178479","","4","Active"
"PNR-1053","Anika Jones","Production","Production Worker","employee.1053@pnrao.com","Non-binary","","","57670","","2","Active"
" PNR-1054 ","Saanvi Jones","Sales","Account Manager"," employee.1054@pnrao.com ","Male","","#N/A","165527","","","Active"
"","David Sharma"," Quality Control ","QC Inspector","#N/A","Non-binary","2021-12-22","2024-10-16","","#N/A","5","Terminated"
"PNR-1055","David Sharma","Quality Control","QC Inspector","employee.1055@pnrao.com","Non-binary","2021-12-22","2024-10-16","58422","PNR-1115","5","Terminated"
"PNR-1056","Anika Smith","Quality Control","QC Manager","employee.1056@pnrao.com","Female","2024-03-07","","162483","","3","Active"
"PNR-1058"," Aditya Sharma ","IT Support","#N/A","employee.1058@pnrao.com","","2023-02-01","  ","57826","","2"," Active "
"PNR-1058","Aditya Sharma","IT Support","Help Desk Specialist","employee.1058@pnrao.com","Female","2023-02-01","","57826","PNR-1444","2","Active"
"PNR-1060","John Patel","Production","Line Supervisor","employee.1060@pnrao.com","Male","2018-04-21","2021-01-12","59687","PNR-2903","4","Terminated"
"PNR-1061","John Patel"," IT Support ","IT Manager","employee.1061@pnrao.com","Non-binary","2023-05-26","","149566","  ","3"," Active "
"PNR-1061","John Patel","IT Support","IT Manager","employee.1061@pnrao.com","Non-binary","2023-05-26","","149566","","3","Active"
"PNR-1063","","Research & Development","Research Lead","employee.1063@pnrao.com","Male","2019-03-10","","108474","","4","Active"
"PNR-1063","Saanvi Sharma","Research & Development","Research Lead","employee.1063@pnrao.com","Male","2019-03-10","","108474","PNR-2496","4","Active"
"PNR-1065","Sarah Smith","IT Support","Help Desk Specialist"," employee.1065@pnrao.com ","Male","2020-06-08","","82462","PNR-2061","2",""
"#N/A","Chris Kumar"," IT Support ",""," employee.1066@pnrao.com ","","2024-12-21","2026-03-25","68341","PNR-1795","3","Terminated"
"","Aarav Patel","Sales","Sales Associate","employee.1067@pnrao.com","Female","2024-09-09","","79279","PNR-2989","3"," Active "
"PNR-1068","Aarav Williams","Quality Control","QC Manager","employee.1068@pnrao.com"," Non-binary "," 2021-09-30 ","","138563","","5","Active"
"PNR-1069"," Chris Kumar ","Marketing","Digital Marketer","employee.1069@pnrao.com","Female","","  ","61293","PNR-1860","5","Active"
"PNR-1070","Rohan Brown","Marketing","Marketing Coordinator","employee.1070@pnrao.com","","2018-02-23","","62075","PNR-1674","2","Active"
"","Olivia Patel","Research & Development","Scientist","employee.1071@pnrao.com","Female","2019-06-27","","71044","PNR-1968","4","#N/A"
"","Rohan Kumar","Production","Production Worker","employee.1072@pnrao.com","Male","","","56504","PNR-2045","","Active"
"PNR-1072","Rohan Kumar","Production","Production Worker","employee.1072@pnrao.com","Male","2023-05-29","","56504","PNR-2045","3","Active"
" PNR-1074 ","Priya Patel","Sales","Regional Sales Manager","employee.1074@pnrao.com","Non-binary","2018-11-11","","179056","  ","2"," Active "
"PNR-1075"," Mary Williams ","Logistics"," Logistics Coordinator "," employee.1075@pnrao.com ","Non-binary","2020-12-27","","70075","PNR-1229","4","Active"
"PNR-1075","Mary Williams","Logistics","Logistics Coordinator","employee.1075@pnrao.com","Non-binary","2020-12-27","","70075","PNR-1229","4","Active"
"PNR-1077","Aarav Kumar","Research & Development","Research Lead","employee.1077@pnrao.com","#N/A","2021-10-22","","95924","PNR-1013","","Active"
"PNR-1077","Aarav Kumar","Research & Development","Research Lead","employee.1077@pnrao.com","Male","2021-10-22","","95924","PNR-1013","3","Active"
" PNR-1079 ","Chris Brown","Production","","employee.1079@pnrao.com","Female","2021-02-20","","174799","","5","Active"
"PNR-1080","","Sales","Sales Associate","employee.1080@pnrao.com","Male","2019-06-03","","68144","PNR-1013","3",""
"PNR-1081","Michael Taylor","Sales","#N/A","employee.1081@pnrao.com","","2018-08-24","  ","122607","","","Active"
"PNR-1082","Rohan Williams","Sales","Sales Associate","employee.1082@pnrao.com","Female","2019-02-16","","","","3","Active"
"PNR-1083","Michael Sharma","Logistics","Warehouse Associate","employee.1083@pnrao.com","#N/A","2024-09-08","","78059","PNR-1942","2","Active"
"PNR-1084","Michael Patel","Logistics","Logistics Coordinator"," employee.1084@pnrao.com ",""," 2020-11-04 ","2022-12-31",""," PNR-1628 ","5","Terminated"
"PNR-1085","","IT Support","IT Manager","employee.1085@pnrao.com","Female","","","155673","","","#N/A"
"PNR-1086","Michael Brown"," Sales ","Account Manager","employee.1086@pnrao.com","Non-binary","2018-03-19","","","","5","#N/A"
" PNR-1087 ","","Logistics","Logistics Coordinator","employee.1087@pnrao.com","Female","2025-04-26","","67685","PNR-2620","4","Active"
